store,date,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,year,month,week,adj_weekly_sales
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1.056856250671404
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,1.0557416749100559
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1.036459249332003
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,0.9064231086486119
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,0.9997056979165935
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,0.9255928395618372
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,0.9467945079417552
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,0.9030168260844785
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,1.0255287027144935
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,0.9936693287855478
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,0.9426424743645948
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,0.8945463692150667
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,0.9163076787732755
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,18,1.0313070385486727
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,19,0.9607700802201447
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,20,0.8999512058545658
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,21,0.9207887432218461
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,22,1.038746024497433
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,23,0.9918320591839953
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,24,0.9665778129852068
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,0.9147715348200289
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,2010,7,26,0.9595912710074569
1,2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,2010,7,27,0.994090896977446
1,2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,2010,7,28,0.9316351112262492
1,2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,2010,7,29,0.890565747007201
1,2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,2010,7,30,0.8821565015949213
1,2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,2010,8,31,1.0322950763398149
1,2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,2010,8,32,0.9697629305818005
1,2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,2010,8,33,0.9728766969662307
1,2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,2010,8,34,0.9317662786343895
1,2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,2010,9,35,0.9902904820709507
1,2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,2010,9,36,0.9692632920629589
1,2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,2010,9,37,0.9197012882510633
1,2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,2010,9,38,0.8691712046693424
1,2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,2010,10,39,0.9344581553381761
1,2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,2010,10,40,0.9697643258429557
1,2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,2010,10,41,0.9383672012917565
1,2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,2010,10,42,0.8650966370202837
1,2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,2010,10,43,0.8900153711345539
1,2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,2010,11,44,0.9976819905617842
1,2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,2010,11,45,0.9609166726582913
1,2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,2010,11,46,0.9540398290702612
1,2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,2010,11,47,1.2574222833606987
1,2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,2010,12,48,0.995350875668583
1,2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,2010,12,49,1.0818830950209917
1,2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,2010,12,50,1.2158928944660223
1,2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,2010,12,51,1.5353982279527312
1,2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,2010,12,52,0.8791559892657353
1,2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,1,1,0.9289303363939956
